Description,Part Number,Vendor,Link,Qty per assy,Price,Shipping + Tax (To or within USA),Total Cost,Notes
,,,,,,,,
Aspheric F/2 220 degree Fish Eye Lens,DS13F117M12,DayOptics Inc.,,2.00,$60.00,$50.00,$170.00,
5mp USB camera,ELP-USB500W05G-FD100,ELP CCTV,http://www.aliexpress.com/store/product/5Mp-2592x1944-Aptina-MI5100-Color-CMOS-Sensor-high-quality-usb-camera-board-with-100degree-no-distortion/1762679_32347005267.html,2.00,$48.91,$31.39,$129.21,
Delrin base,# 06791149,MSC Industrial Direct,https://www.mscdirect.com/webapp/wcs/stores/servlet/product/details/06791149,1.00,$15.32,,$15.32,Shipping included in line 7
"1/4""-20 camera mount thread insert",# 85595304,MSC Industrial Direct,https://www.mscdirect.com/webapp/wcs/stores/servlet/product/details/85595304,1.00,$10.16,,$10.16,"Shipping included in line 7
"
Zip tie,#61651329,MSC Industrial Direct,https://www.mscdirect.com/product/details/61651329,2,$4,,$4.00,"MQO is 100, Shipping included in line 7"
2-56 M/F Standoff,# 84261601,MSC Industrial Direct,https://www.mscdirect.com/product/details/84261601,4.00,0.51,,$2.04,Shipping included in line 7
2-56 screw,# 67570648,MSC Industrial Direct,https://www.mscdirect.com/product/details/67570648,4.00,$4.34,,$4.34,"MQO is 100, Shipping included in line 7"
2-56 nut,# 87925509,MSC Industrial Direct,https://www.mscdirect.com/product/details/87925509?item=87925509&fromRR=Y,4.00,$5.47,$13.54,$19.01,MQO is 100
Table top tripod,,Amazon,http://www.amazon.com/Vanguard-VS41-Flexible-MiniTripod-Camera/dp/B00009RUCH/ref=sr_1_2?s=photo&ie=UTF8&qid=1460594944&sr=1-2&keywords=tripod,1.00,$5.30,,$5.30,
,,,,,,,,
Total without shipping,,,,,$264.45,,,
Total shipping cost,,,,,,$94.93,,
Total with shipping,,,,,,,$359.38,
